#{"t_start": 1542660579.7249963, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
2.0,185,4.788887
0.0,125,6.085192
3.0,247,8.968991
2.0,222,11.49099
0.0,127,12.836333
1.0,157,14.646966
0.0,127,16.197475
0.0,129,17.434091
1.0,175,19.206399
0.0,125,20.252182
1.0,173,22.321064
0.0,125,23.948151
2.0,221,26.728323
0.0,127,28.488274
1.0,173,30.579683
0.0,129,32.111151
1.0,155,34.080644
1.0,155,36.162906
0.0,127,37.798827
3.0,271,41.097324
0.0,129,42.827673
1.0,173,44.767046
1.0,171,46.766614
1.0,171,48.994313
0.0,125,50.378046
