P01:episode_rewards,fps,P09:episode_rewards,episode_length,frames,policy_loss,explained_variance,value_loss,policy_entropy,advantage_norm,grad_norm,PMM:episode_rewards,epoch_idx
0.0,545,3.8999999999999986,177.3095238095238,8000,0.0021705508528248175,-11.50421142756939,2.475337606638693,1.3296293573081492,5.681401918958873,50.321044852548546,1.3095238095238095,1
0.0,366,3.0,178.40697674418604,16000,-0.00048158223566133527,-8.823254527449608,0.006242394976529795,1.3789990651607513,0.7876847364380956,0.10655261578509491,1.313953488372093,2
0.0,442,3.1000000000000085,180.8,24000,0.0004727128930971958,-7.308266543149948,0.0054802191656699506,1.3783374559879302,0.6910895653255283,0.09770063755836056,1.39,3
0.0,500,3.1000000000000085,181.97,32000,0.0005270374193787575,-2.8235962796211242,0.005423842234317817,1.384602198600769,0.6997672392986715,0.08665710504246604,1.41,4
0.0,542,3.0,179.57,40000,0.0015089467796497048,-0.6036994105577469,0.006496316642505917,1.3858196210861207,0.8090609284862876,0.0816693932869895,1.31,5
0.0,575,3.1000000000000085,186.51,48000,-0.0003798075421946123,-1.8360702037811278,0.004900090903302044,1.3858018386363984,0.6501268332451582,0.05702423364358064,1.44,6
0.0,604,4.0,181.22,56000,-0.00016620132140815258,-1.922769637107849,0.0062021405348968986,1.3847895860671997,0.7830338315851987,0.07984747849202928,1.3,7
0.0,624,4.0,182.62,64000,-0.014349702757754131,-1.4939998054504395,0.021824630522237386,1.3818778562545777,0.8908651064708829,0.7450719649034052,1.34,8
0.0,640,5.0,194.93,72000,-0.00016587695601629092,-1.3754398375749588,0.005875088558195784,1.3855114936828614,0.7325866149365902,0.0740230858441831,1.68,9
0.0,656,5.0,195.19,80000,-0.0006817375827813521,-1.156233589053154,0.0056758559564696045,1.3859160876274108,0.7132580551505089,0.07958615968349757,1.73,10
0.0,671,4.0,190.22,88000,0.0012095357256475836,-0.8769599485397339,0.006526328292356993,1.3853778314590455,0.815004261918366,0.07780688775384179,1.57,11
0.0,687,4.0,184.09,96000,-0.0004910488682799041,-1.175246341228485,0.005367725026972039,1.385022361278534,0.7021027370914816,0.07171438831574782,1.41,12
0.0,699,4.0,179.29,104000,-0.00026254122523823755,-1.7722509545087815,0.005262351075198239,1.3846556043624878,0.694813203625381,0.07768581740307974,1.28,13
0.0,709,3.0,176.22,112000,0.00011903740785783157,-2.1382984858751297,0.0049870101899796284,1.38346541762352,0.6509000833705068,0.07342993220195704,1.24,14
0.0,719,3.0,172.52,120000,-0.00039696521380392367,-1.9933398789167405,0.0048859065151373214,1.3834493017196656,0.6624185913801193,0.06887718273303073,1.14,15
0.0,728,3.0,174.58,128000,0.00019567795903640216,-2.479185193181038,0.0050259690250004495,1.376320573091507,0.6625207795575261,0.0730705040359764,1.19,16
